ManagedPoolThread #17 00:19:28 INFO  ExecuteQueryAgainstLucene (social_messages_master): +posted_date:[00010101t000000000z TO 00010101t000000000z] +(final_workflow_state:1 workflow_state:00000000000000000000000000000000) +(_template:d7851f00e8694f9381f5b5338eff58a9 _template:06751e29d91b423ca2e1e54afd4f8f0b _template:e28734ca89eb4530b0e4b81f6645a372) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master55a40513eb5e4411912838c2caec0c62en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master49dbf1578c4741d7bb8f6b8151b5405cen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master7f7049ab643f438889304bae4a1aae10en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master94cbb5b7189046129510f68c1dee6b42en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master63087a5b2ea84f1b811ba82c0ecf52afen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master08b40ff0f8124dcf83a8f05e493831f9en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master57ce27f458064003a1d166618a110ee4en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterc4d096835eb34d8ebf9e13cb41c197b5en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master4a2f409eac3b452183e875c1428905cfen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:51 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterc0caf6988a424b669eaf7d442b46f722en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
